epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.009,1.34015,1.13004,1.24206,0.71291,0.57841,0.62037,0.34065,1.23901,0.86902,1.18455,0.00333158,0.00333158,0.00333158
2,622.823,1.28019,1.06422,1.20133,0.74429,0.54554,0.61584,0.33879,1.31029,0.91962,1.24346,0.00653295,0.00653295,0.00653295
3,947.423,1.34631,1.16227,1.23734,0.68426,0.52392,0.57356,0.30556,1.4182,1.10967,1.34545,0.00960232,0.00960232,0.00960232
4,1274.91,1.39205,1.2203,1.27299,0.72777,0.54848,0.61131,0.32894,1.38362,1.08994,1.31481,0.009406,0.009406,0.009406
5,1603.9,1.35133,1.18065,1.25709,0.69765,0.54522,0.59785,0.32544,1.38033,1.12178,1.32811,0.009208,0.009208,0.009208
6,1927.82,1.30938,1.11952,1.23069,0.72784,0.55338,0.62091,0.35013,1.32505,1.01148,1.29693,0.00901,0.00901,0.00901
7,2248.03,1.27642,1.08661,1.21417,0.75518,0.53846,0.61529,0.35383,1.34204,0.99681,1.313,0.008812,0.008812,0.008812
8,2567.69,1.25153,1.05936,1.20169,0.76223,0.55513,0.62588,0.36151,1.2975,0.974,1.27279,0.008614,0.008614,0.008614
9,2883.16,1.2252,1.02892,1.18779,0.7625,0.61191,0.67518,0.38725,1.28039,0.94235,1.26869,0.008416,0.008416,0.008416
10,3197.98,1.20291,1.00057,1.17699,0.77322,0.58659,0.65902,0.38509,1.27401,0.91007,1.24428,0.008218,0.008218,0.008218
11,3510.38,1.1841,0.98391,1.16698,0.76653,0.6018,0.67141,0.39583,1.25777,0.89204,1.23306,0.00802,0.00802,0.00802
12,3820.91,1.16767,0.96325,1.15881,0.78694,0.60359,0.68756,0.40294,1.23625,0.88689,1.2166,0.007822,0.007822,0.007822
13,4130.06,1.14962,0.93971,1.14921,0.77267,0.61091,0.68459,0.40837,1.21855,0.85042,1.21222,0.007624,0.007624,0.007624
